"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 27-Feb-2025","1W AGO 
 21-Feb-2025","1M AGO 
 29-Jan-2025","1Y AGO 
 29-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 29-Feb-2024","30 D % CHNG 
 29-Jan-2025"
"NIFTY MIDCAP150 MOMENTUM 50","50,836.35","-2.46","51,680.40","51,728.65","50,342.05","-","52,118.85","52,118.85","53,919.65","56,760.50","52,443.00","-","-","-3.06","-10.44"
"NIFTY500 MOMENTUM 50","44,884.85","-2.66","45,608.45","45,660.45","44,445.30","-","46,113.20","46,113.20","47,480.20","49,684.95","-","-","-","-","-9.66"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","40,874.30","-2.49","41,565.35","41,605.90","40,468.30","-","41,918.95","41,918.95","43,445.95","45,950.80","43,433.42","-","-","-5.89","-11.05"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","38,666.50","-2.76","39,339.70","39,492.20","38,332.00","-","39,762.45","39,762.45","41,334.35","43,089.40","44,313.20","-","-","-12.74","-10.26"
"NIFTY TOP 10 EQUAL WEIGHT","8,737.00","-1.86","8,855.10","8,864.25","8,725.55","-","8,902.50","8,902.50","9,001.60","9,152.35","-","-","-","-","-4.54"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","19,676.40","-2.50","20,097.70","20,103.25","19,645.30","-","20,181.30","20,181.30","20,558.70","21,474.25","20,533.24","-","-","-4.17","-8.37"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","18,077.45","-2.74","18,512.40","18,522.50","18,063.35","-","18,586.50","18,586.50","18,877.05","19,488.10","18,254.20","-","-","-0.97","-7.24"
"NIFTY HIGH BETA 50","2,986.05","-2.81","3,043.80","3,044.85","2,966.85","-","3,072.45","3,072.45","3,170.35","3,326.40","3,653.96","-","-","-18.28","-10.23"
"NIFTY LOW VOLATILITY 50","22,217.30","-2.46","22,697.10","22,703.90","22,198.05","-","22,777.70","22,777.70","22,995.15","23,390.20","21,844.81","-","-","1.71","-5.01"
"NIFTY QUALITY LOW-VOLATILITY 30","15,493.70","-2.44","15,829.60","15,836.35","15,479.25","-","15,880.40","15,880.40","16,076.40","16,575.45","16,078.71","-","-","-3.64","-6.53"
"NIFTY SMALLCAP250 QUALITY 50","22,539.55","-2.80","22,984.60","23,022.90","22,414.65","-","23,189.30","23,189.30","24,014.95","25,405.40","23,913.59","-","-","-5.75","-11.28"
"NIFTY TOP 15 EQUAL WEIGHT","9,212.45","-2.26","9,377.85","9,382.20","9,204.85","-","9,425.85","9,425.85","9,462.35","9,608.75","8,816.54","-","-","4.49","-4.12"
"NIFTY100 ALPHA 30","15,263.95","-3.01","15,609.30","15,612.45","15,190.55","-","15,737.80","15,737.80","16,085.80","16,727.95","16,692.44","-","-","-8.56","-8.75"
"NIFTY200 VALUE 30","11,022.55","-2.01","11,199.95","11,199.95","10,928.05","-","11,248.35","11,248.35","11,597.50","11,700.65","11,458.52","-","-","-3.80","-5.80"
"NIFTY500 EQUAL WEIGHT","11,714.45","-2.52","11,912.60","11,931.45","11,632.55","-","12,016.70","12,016.70","12,369.50","13,009.65","12,362.43","-","-","-5.24","-9.96"
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","35,152.95","-2.25","35,633.25","35,689.40","34,867.25","-","35,962.10","35,962.10","37,247.15","39,926.80","39,739.61","-","-","-11.54","-11.96"
"NIFTY500 VALUE 50","12,010.65","-2.27","12,225.85","12,226.20","11,916.65","-","12,289.25","12,289.25","12,702.75","12,856.35","12,625.95","-","-","-4.87","-6.58"
"NIFTY TOP 20 EQUAL WEIGHT","8,248.75","-2.53","8,425.90","8,427.10","8,243.25","-","8,462.75","8,462.75","8,520.85","8,712.75","8,041.61","-","-","2.58","-5.33"
"NIFTY COMMODITIES","7,595.80","-1.53","7,679.10","7,681.70","7,549.50","-","7,713.75","7,713.75","7,954.00","7,923.80","8,140.70","9,896.35","7,549.50","-6.69","-4.14"
"NIFTY INDIA CONSUMPTION","10,160.70","-3.09","10,419.85","10,426.80","10,144.75","-","10,485.05","10,485.05","10,542.05","10,874.85","9,806.15","13,057.60","9,690.80","3.62","-6.57"
"NIFTY CPSE","5,387.30","-1.70","5,461.80","5,471.65","5,330.75","-","5,480.45","5,480.45","5,649.50","5,843.60","5,776.15","7,661.90","5,284.25","-6.73","-7.81"
"NIFTY ENERGY","30,018.15","-2.09","30,511.50","30,540.40","29,863.25","-","30,659.25","30,659.25","31,592.00","32,607.85","38,838.00","45,022.15","29,863.25","-22.71","-7.94"
"NIFTY INFRASTRUCTURE","7,665.55","-2.07","7,793.70","7,802.30","7,649.30","-","7,827.25","7,827.25","8,008.45","8,163.75","8,085.75","9,704.20","7,649.30","-5.20","-6.10"
"NIFTY100 LIQUID 15","6,054.90","-2.26","6,170.85","6,172.20","6,042.15","-","6,194.90","6,194.90","6,224.55","6,229.05","6,215.20","7,205.25","6,011.05","-2.58","-2.80"
